,Non-canonical,Watson-Crick,Paired with N,Wobble
0,31,328,0,70
1,30,329,0,72
2,22,348,0,79
3,22,353,0,71
4,22,358,0,76
5,22,358,0,76
6,27,350,0,83
7,22,351,0,70
8,23,330,0,80
9,22,358,0,76
10,25,361,0,63
11,24,335,7,64
12,25,371,0,66
13,27,366,5,64
14,27,366,5,64
15,22,359,0,70
16,10,159,0,32
17,22,357,0,77
18,20,326,0,63
19,25,295,0,61
20,24,368,0,63
21,24,342,0,73
22,21,363,0,77
23,21,364,0,76
24,21,364,0,76
25,21,366,0,74
26,21,366,0,74
27,23,373,0,60
28,27,352,0,74
29,19,331,0,65
30,21,325,0,70
31,22,348,0,72
32,23,344,0,73
33,23,336,0,71
34,22,369,0,73
35,22,326,0,67
36,26,369,0,74
37,23,347,0,67
38,25,363,0,71
39,22,344,0,67
40,26,352,0,69
41,22,341,0,67
42,24,369,0,71
43,24,360,0,69
44,23,358,0,69
45,24,339,0,68
46,24,345,0,69
47,21,355,0,72
48,23,370,0,76
49,24,368,0,77
50,23,366,1,74
51,22,365,0,74
52,22,357,0,72
53,22,362,0,74
54,23,366,1,74
55,22,365,0,74
56,24,359,0,58
57,30,357,0,75
58,30,356,0,76
59,27,367,0,78
60,24,364,0,75
61,22,338,0,70
62,22,368,0,74
63,22,371,0,76
64,22,371,0,76
65,22,349,0,74
66,22,365,0,74
67,27,362,0,65
68,21,351,0,71
69,24,358,0,69
70,24,358,0,69
71,24,354,0,69
72,24,361,0,69
73,24,357,0,69
74,24,372,0,73
75,24,369,0,71
76,27,319,0,71
77,24,379,1,57
78,6,96,0,12
79,7,112,0,24
80,7,112,0,24
81,7,109,1,26
82,7,112,0,24
83,9,111,1,22
84,7,110,1,25
85,6,115,0,22
86,7,111,0,25
87,5,115,3,20
88,5,115,2,21
89,5,114,1,23
90,5,115,0,23
91,5,111,0,27
92,5,115,0,23
93,5,114,1,23
94,8,111,0,24
95,6,111,1,23
96,7,110,0,26
97,7,111,0,25
98,5,117,2,18
99,5,119,0,18
100,5,119,0,18
101,5,119,0,18
